"lod1","lod2","lod3","src_schema","aantal"
"bare","bare","gesloten verharding/asfalt","bgt_lean","44321"
"bare","bare","gesloten verharding/cementbeton","bgt_lean","138848"
"bare","bare","gesloten verharding/kunststof","bgt_lean","32124"
"bare","bare","gesloten verharding/waardeOnbekend","bgt_lean","221549"
"bare","bare","half verhard/grasklinkers","bgt_lean","100980"
"bare","bare","half verhard/gravel","bgt_lean","7368"
"bare","bare","half verhard/grind","bgt_lean","37636"
"bare","bare","half verhard/puin","bgt_lean","10804"
"bare","bare","half verhard/schelpen","bgt_lean","2693"
"bare","bare","half verhard/waardeOnbekend","bgt_lean","62789"
"bare","bare","oever, slootkant/geenWaarde","bgt_lean","1740038"
"bare","bare","onverhard/boomschors","bgt_lean","6311"
"bare","bare","onverhard/waardeOnbekend","bgt_lean","296773"
"bare","bare","open verharding/beton element","bgt_lean","87139"
"bare","bare","open verharding/betonstraatstenen","bgt_lean","184399"
"bare","bare","open verharding/gebakken klinkers","bgt_lean","31720"
"bare","bare","open verharding/sierbestrating","bgt_lean","12475"
"bare","bare","open verharding/tegels","bgt_lean","103366"
"bare","bare","open verharding/waardeOnbekend","bgt_lean","375259"
"bare","yard","erf/waardeOnbekend","bgt_lean","2157991"
"farmland","arable","boomteelt/waardeOnbekend","bgt_lean","12063"
"farmland","arable","bouwland/akkerbouw","bgt_lean","2188"
"farmland","arable","bouwland/bollenteelt","bgt_lean","62"
"farmland","arable","bouwland/braakliggend","bgt_lean","1199"
"farmland","arable","bouwland/vollegrondsteelt","bgt_lean","1700"
"farmland","arable","bouwland/waardeOnbekend","bgt_lean","108388"
"farmland","orchard","fruitteelt/hoogstam boomgaarden","bgt_lean","363"
"farmland","orchard","fruitteelt/klein fruit","bgt_lean","64"
"farmland","orchard","fruitteelt/laagstam boomgaarden","bgt_lean","140"
"farmland","orchard","fruitteelt/waardeOnbekend","bgt_lean","7284"
"farmland","orchard","fruitteelt/wijngaarden","bgt_lean","13"
"farmland","pastoral","grasland agrarisch/waardeOnbekend","bgt_lean","407253"
"grass","grass","grasland overig/waardeOnbekend","bgt_lean","480203"
"grass","grass","groenvoorziening/bodembedekkers","bgt_lean","260288"
"grass","grass","groenvoorziening/gras- en kruidachtigen","bgt_lean","2502697"
"grass","grass","groenvoorziening/waardeOnbekend","bgt_lean","1353341"
"grass","heath","heide/waardeOnbekend","bgt_lean","16187"
"sand","sand","duin/gesloten duinvegetatie","bgt_lean","906"
"sand","sand","duin/open duinvegetatie","bgt_lean","1326"
"sand","sand","duin/waardeOnbekend","bgt_lean","4032"
"sand","sand","onverhard/zand","bgt_lean","200415"
"sand","sand","zand/strand en strandwal","bgt_lean","852"
"sand","sand","zand/waardeOnbekend","bgt_lean","78647"
"sand","sand","zand/zandverstuiving","bgt_lean","278"
"wetland","reed","kwelder/waardeOnbekend","bgt_lean","4173"
"wetland","reed","rietland/waardeOnbekend","bgt_lean","21063"
"wetland","reed","slik/geenWaarde","bgt_lean","1934"
"wetland","swamp","moeras/waardeOnbekend","bgt_lean","2345"
"wood","deciduous","groenvoorziening/bosplantsoen","bgt_lean","6176"
"wood","deciduous","groenvoorziening/heesters","bgt_lean","951456"
"wood","deciduous","groenvoorziening/planten","bgt_lean","203079"
"wood","deciduous","groenvoorziening/struikrozen","bgt_lean","47821"
"wood","deciduous","houtwal/waardeOnbekend","bgt_lean","95973"
"wood","deciduous","loofbos/griend en hakhout","bgt_lean","8781"
"wood","deciduous","loofbos/waardeOnbekend","bgt_lean","150288"
"wood","deciduous","struiken/waardeOnbekend","bgt_lean","87557"
"wood","mixed","gemengd bos/waardeOnbekend","bgt_lean","72576"
"wood","mixed","groenvoorziening/bosplantsoen","bgt_lean","202883"
"wood","pine","naaldbos/waardeOnbekend","bgt_lean","35905"
