"visualisatiecode","typeobject","naam"
999,"overig","Delflandse Hoofden"
999,"overig","Flevokust Haven"
999,"weg","A15/A20 Blankenburgverbinding"
999,"weg","A16 Rotterdam"
999,"weg","A6/A7 Knooppunt Joure"
999,"weg","A7/N7 Zuidelijke Ringweg Groningen"
999,"weg","Buitenring-Parkstad-Limburg"
999,"weg","Rijnlandroute (verbinding tussen de A4 en de A44)"
999,"weg","Rotterdamsebaan"
999,"weg","Verdubbelen en verdiept aanleggen N31 Harlingen"
999,"weg","Weguitbreiding A1 / A6 Diemen – Almere Havendreef (SAA)"
999,"weg","Weguitbreiding A9 Holendrecht – Diemen Gaasperdammerweg (SAA)"
999,"weg","Zuidelijke Randweg Woerden"
